input 69: successful attacks = 1, inputs = [['36']], input deviations = [['19.98193066407546']], output change = ['15.43826937872322'], times = [0.0012063980102539062], max_time = 0.0012063980102539062
input 70: successful attacks = 1, inputs = [['36']], input deviations = [['19.981577367028923']], output change = ['15.437996417362939'], times = [0.0011436939239501953], max_time = 0.0011436939239501953
input 71: successful attacks = 1, inputs = [['36']], input deviations = [['19.982303319370104']], output change = ['15.438557296488511'], times = [0.001199483871459961], max_time = 0.001199483871459961
input 72: successful attacks = 1, inputs = [['36']], input deviations = [['19.98227106152894']], output change = ['15.438532373709535'], times = [0.0011844635009765625], max_time = 0.0011844635009765625
input 73: successful attacks = 1, inputs = [['36']], input deviations = [['19.983034729809226']], output change = ['15.43912239260331'], times = [0.001186370849609375], max_time = 0.001186370849609375
input 74: successful attacks = 1, inputs = [['36']], input deviations = [['19.98217326245934']], output change = ['15.438456813023919'], times = [0.001180887222290039], max_time = 0.001180887222290039
input 75: successful attacks = 1, inputs = [['36']], input deviations = [['19.98142762565033']], output change = ['15.437880725452118'], times = [0.0011546611785888672], max_time = 0.0011546611785888672
input 76: successful attacks = 1, inputs = [['36']], input deviations = [['19.980997850398868']], output change = ['15.43754867615138'], times = [0.001180887222290039], max_time = 0.001180887222290039
input 77: successful attacks = 1, inputs = [['36']], input deviations = [['19.981517307762232']], output change = ['15.43795001488283'], times = [0.0011892318725585938], max_time = 0.0011892318725585938
input 78: successful attacks = 1, inputs = [['36']], input deviations = [['19.981500198223372']], output change = ['15.437936795856473'], times = [0.001184225082397461], max_time = 0.001184225082397461
input 79: successful attacks = 1, inputs = [['36']], input deviations = [['19.98154416960497']], output change = ['15.437970768651496'], times = [0.0012218952178955078], max_time = 0.0012218952178955078
input 80: successful attacks = 1, inputs = [['36']], input deviations = [['19.98175658665216']], output change = ['15.438134884504422'], times = [0.0012097358703613281], max_time = 0.0012097358703613281
input 81: successful attacks = 1, inputs = [['36']], input deviations = [['19.980226403451738']], output change = ['15.436952647369992'], times = [0.0011987686157226562], max_time = 0.0011987686157226562
input 82: successful attacks = 1, inputs = [['36']], input deviations = [['19.98113381135886']], output change = ['15.437653721152344'], times = [0.0011608600616455078], max_time = 0.0011608600616455078
input 83: successful attacks = 1, inputs = [['36']], input deviations = [['19.98063750789192']], output change = ['15.437270271387291'], times = [0.0012028217315673828], max_time = 0.0012028217315673828
input 84: successful attacks = 1, inputs = [['36']], input deviations = [['19.97967834448617']], output change = ['15.436529210711768'], times = [0.0011489391326904297], max_time = 0.0011489391326904297
input 85: successful attacks = 1, inputs = [['36']], input deviations = [['19.9792952457801']], output change = ['15.436233224246706'], times = [0.001177072525024414], max_time = 0.001177072525024414
input 86: successful attacks = 1, inputs = [['36']], input deviations = [['19.978661648720585']], output change = ['15.435743699873541'], times = [0.0011928081512451172], max_time = 0.0011928081512451172
input 87: successful attacks = 1, inputs = [['36']], input deviations = [['19.979064567564446']], output change = ['15.436054999605005'], times = [0.0011990070343017578], max_time = 0.0011990070343017578
input 88: successful attacks = 1, inputs = [['36']], input deviations = [['19.97932981593402']], output change = ['15.436259933545074'], times = [0.0011892318725585938], max_time = 0.0011892318725585938
input 89: successful attacks = 1, inputs = [['36']], input deviations = [['19.980143039656316']], output change = ['15.43688823954318'], times = [0.0011987686157226562], max_time = 0.0011987686157226562
input 90: successful attacks = 1, inputs = [['36']], input deviations = [['19.979810232543304']], output change = ['15.436631108941071'], times = [0.0011534690856933594], max_time = 0.0011534690856933594
input 91: successful attacks = 1, inputs = [['36']], input deviations = [['19.978235433852273']], output change = ['15.435414401365847'], times = [0.0011568069458007812], max_time = 0.0011568069458007812
input 92: successful attacks = 1, inputs = [['36']], input deviations = [['19.978781028108386']], output change = ['15.43583593376124'], times = [0.0012133121490478516], max_time = 0.0012133121490478516
input 93: successful attacks = 1, inputs = [['36']], input deviations = [['19.97817908175062']], output change = ['15.435370863084103'], times = [0.0011932849884033203], max_time = 0.0011932849884033203
input 94: successful attacks = 1, inputs = [['36']], input deviations = [['19.97781790905808']], output change = ['15.435091816909278'], times = [0.0012276172637939453], max_time = 0.0012276172637939453
input 95: successful attacks = 1, inputs = [['36']], input deviations = [['19.976772793071987']], output change = ['15.43428434828192'], times = [0.001186370849609375], max_time = 0.001186370849609375
input 96: successful attacks = 1, inputs = [['36']], input deviations = [['19.977721677796804']], output change = ['15.435017467530315'], times = [0.0012102127075195312], max_time = 0.0012102127075195312
input 97: successful attacks = 1, inputs = [['36']], input deviations = [['19.976090516333816']], output change = ['15.433757213429118'], times = [0.0012094974517822266], max_time = 0.0012094974517822266
input 98: successful attacks = 1, inputs = [['36']], input deviations = [['19.975986840182397']], output change = ['15.433677112042602'], times = [0.00116729736328125], max_time = 0.00116729736328125
